Age,Gender,Employment Status,Education Level,Credit Score,Annual Income,DTI (%),Loan Amount,Loan Purpose,Interest Rate (%),Loan Term (months),Home Ownership,Open Accounts,Bankruptcy,Payment History (on-time),Delinquency (count),Credit Inquiries,Credit Utilization (%),Employment Length (years),Loan Status
27,Male,Unemployed,Bachelor's,795,146012,30.58,34311,Car,21.36,60,Rent,9,1,22/59,3,3,62.05,21,Late
63,Female,Employed,Bachelor's,328,129699,41.11,37689,Medical,11.02,60,Own,11,2,44/58,2,0,78.01,35,Charged Off
51,Male,Self-employed,High School,499,124887,26.95,35854,Credit Card,11.56,36,Rent,8,0,10/57,3,3,54.89,39,Fully Paid
49,Female,Employed,Bachelor's,682,93351,16.06,23947,Car,14.1,36,Rent,11,2,4/54,1,2,92.1,29,Late
36,Female,Employed,Bachelor's,410,117875,17.32,6004,Medical,5.17,36,Own,4,0,24/52,3,1,56.94,32,Late
61,Male,Employed,Bachelor's,810,107555,49.27,17220,Car,11.26,36,Mortgage,7,0,49/52,2,3,98.48,15,Charged Off
54,Male,Unemployed,Master's,492,25567,46.48,12543,Home,11.24,60,Own,8,1,6/53,3,0,19.08,13,Charged Off
26,Female,Retired,High School,767,101279,32.56,23955,Medical,6.46,36,Own,6,1,43/52,1,4,34.46,2,Charged Off
52,Female,Retired,Master's,404,59559,39.57,17709,Medical,16.82,36,Own,10,0,41/53,0,2,26.15,18,Current
34,Male,Employed,High School,448,35497,22.84,49774,Medical,13.0,36,Mortgage,4,0,33/53,1,2,91.67,10,Late
43,Male,Retired,High School,429,96736,36.54,49333,Medical,10.22,36,Own,2,2,43/51,3,5,12.23,5,Current
59,Female,Unemployed,Bachelor's,487,57331,47.83,44279,Home,22.72,60,Rent,3,0,4/54,3,0,74.65,2,Late
74,Male,Unemployed,Bachelor's,666,108894,41.74,28714,Medical,11.01,60,Rent,10,1,13/55,1,2,28.9,28,Charged Off
28,Male,Unemployed,High School,494,142948,28.35,48378,Medical,14.52,60,Rent,5,1,8/56,2,1,51.94,2,Fully Paid
34,Female,Employed,High School,763,112504,19.13,35090,Medical,13.23,36,Own,11,1,39/57,3,0,45.14,24,Fully Paid
32,Male,Retired,Bachelor's,322,102557,40.1,48405,Medical,6.04,60,Rent,11,1,33/56,3,0,13.44,0,Current
71,Female,Employed,High School,374,97318,44.63,4042,Medical,10.56,36,Rent,6,2,31/52,0,4,26.35,24,Fully Paid
60,Male,Self-employed,High School,533,98377,30.24,13392,Car,21.19,60,Mortgage,5,2,22/55,3,1,50.44,10,Late
74,Female,Employed,Master's,337,102000,17.45,23264,Medical,18.15,60,Rent,4,1,13/53,0,1,66.06,10,Current
72,Female,Employed,High School,782,45718,28.05,15012,Car,7.61,60,Own,2,0,47/56,1,2,89.36,24,Fully Paid
47,Female,Unemployed,Bachelor's,709,137023,32.88,33410,Medical,24.3,36,Own,5,2,2/57,0,0,59.4,27,Late
73,Female,Unemployed,Bachelor's,585,148800,18.24,47592,Car,12.39,36,Own,5,0,48/53,2,0,42.35,9,Charged Off
29,Male,Employed,Master's,651,122951,26.91,43363,Car,21.66,60,Mortgage,8,2,24/55,1,4,33.93,39,Fully Paid
25,Female,Unemployed,Bachelor's,385,130171,29.3,5771,Home,10.58,60,Rent,4,0,32/54,3,0,40.58,4,Charged Off
37,Male,Employed,Bachelor's,566,58025,47.38,38182,Medical,12.16,60,Own,6,0,48/53,0,4,66.58,9,Charged Off
60,Male,Retired,High School,389,31998,41.67,39217,Credit Card,19.72,60,Mortgage,10,0,29/59,1,3,55.61,12,Late
23,Male,Self-employed,Master's,786,124194,26.16,22732,Medical,17.36,60,Rent,4,2,39/55,0,1,30.47,11,Late
67,Male,Retired,Master's,799,46572,25.11,17863,Medical,17.23,60,Own,11,1,5/56,1,0,70.19,36,Charged Off
53,Male,Self-employed,High School,409,139673,39.2,39248,Medical,14.83,36,Mortgage,3,1,18/52,2,3,98.67,28,Current
29,Male,Employed,Bachelor's,843,67262,26.18,27143,Credit Card,17.5,36,Own,8,2,16/52,2,4,21.77,5,Late
73,Female,Employed,Bachelor's,827,76841,43.63,39427,Credit Card,19.81,60,Rent,3,1,22/52,3,0,68.08,19,Late
46,Female,Self-employed,High School,548,111027,17.33,26974,Medical,5.05,36,Own,2,1,14/54,1,2,19.66,22,Current
27,Female,Self-employed,Master's,839,87718,34.87,36044,Medical,8.51,60,Own,2,1,27/53,3,3,66.66,30,Current
53,Male,Retired,Bachelor's,346,22962,28.13,45125,Medical,13.41,60,Rent,7,2,36/52,2,3,81.38,1,Current
21,Male,Self-employed,High School,788,113942,24.04,32204,Credit Card,18.46,60,Mortgage,2,1,39/58,1,5,73.03,23,Fully Paid
59,Male,Retired,High School,356,92824,21.42,32515,Car,9.03,36,Mortgage,11,1,43/55,0,2,12.42,24,Charged Off
74,Male,Retired,Master's,777,60056,34.22,11443,Home,18.45,60,Rent,4,1,35/54,3,1,58.36,15,Fully Paid
35,Female,Retired,Master's,626,140927,21.78,27423,Home,8.12,36,Rent,2,1,33/56,1,0,47.29,19,Late
56,Male,Retired,Master's,796,124722,19.48,13447,Credit Card,14.57,60,Mortgage,5,0,12/55,2,1,19.87,28,Fully Paid
26,Female,Self-employed,High School,684,43794,48.22,13078,Credit Card,21.18,36,Own,7,1,34/52,0,4,48.8,38,Fully Paid
67,Female,Employed,Master's,585,134603,37.35,6179,Home,12.28,36,Rent,9,1,14/59,2,0,75.67,17,Late
46,Female,Unemployed,High School,311,140854,24.27,42333,Car,14.68,60,Mortgage,4,2,33/54,0,0,71.11,36,Fully Paid
54,Female,Retired,Master's,463,31296,41.4,16269,Medical,13.83,60,Rent,10,1,34/56,2,1,68.35,8,Late
36,Male,Self-employed,High School,651,144485,30.41,26785,Credit Card,9.43,60,Mortgage,7,1,32/59,1,5,86.58,28,Current
61,Female,Retired,Master's,673,146012,39.4,44601,Home,21.65,36,Rent,5,1,3/52,1,3,16.6,2,Charged Off
22,Male,Employed,High School,656,37659,32.11,9528,Car,11.24,60,Mortgage,2,2,41/58,2,5,32.41,0,Late
65,Female,Retired,Bachelor's,510,49617,23.49,14467,Medical,11.72,36,Mortgage,10,2,9/57,3,5,39.14,19,Fully Paid
62,Male,Employed,High School,624,49168,45.92,29629,Car,16.7,36,Own,6,2,22/59,0,4,13.67,0,Fully Paid
36,Male,Self-employed,Bachelor's,465,74215,28.91,14470,Medical,14.08,60,Own,2,1,43/58,1,2,37.3,36,Late
37,Male,Retired,Bachelor's,643,98545,26.44,8054,Car,11.24,60,Rent,2,0,42/55,2,5,57.85,8,Current
38,Female,Retired,Master's,604,142335,38.09,30752,Car,14.91,60,Mortgage,7,1,43/51,1,4,88.18,1,Fully Paid
48,Female,Employed,High School,691,63292,26.23,23692,Home,19.94,60,Mortgage,9,0,1/54,2,4,65.88,22,Current
55,Male,Employed,Bachelor's,808,48010,20.27,33979,Credit Card,11.71,60,Own,8,1,7/55,0,1,16.97,8,Charged Off
70,Female,Self-employed,Master's,844,72502,36.57,22923,Car,24.1,36,Mortgage,3,0,42/57,3,4,87.15,19,Fully Paid
31,Female,Unemployed,High School,677,72780,34.11,47469,Credit Card,10.64,60,Mortgage,4,0,26/51,1,5,86.33,4,Current
32,Female,Retired,Bachelor's,813,42830,28.3,24423,Credit Card,11.68,36,Own,5,0,6/56,0,0,77.12,28,Charged Off
52,Female,Retired,High School,629,35140,43.24,23527,Home,21.1,36,Rent,4,0,40/54,3,5,23.3,1,Current
71,Male,Unemployed,Bachelor's,664,78438,45.17,10722,Credit Card,19.74,60,Mortgage,2,0,31/54,2,4,65.13,15,Current
60,Female,Retired,Bachelor's,765,135866,37.42,23892,Medical,8.75,36,Own,2,2,21/59,2,0,11.55,33,Fully Paid
56,Female,Retired,High School,568,113983,44.13,24172,Home,22.44,60,Own,5,1,8/59,0,0,23.55,36,Charged Off
61,Female,Unemployed,Bachelor's,340,104918,32.66,8416,Credit Card,17.97,60,Rent,11,2,32/58,3,3,95.96,20,Fully Paid
70,Female,Employed,Master's,651,69873,44.93,35653,Car,12.48,60,Rent,11,1,37/57,2,3,15.9,12,Charged Off
38,Male,Retired,High School,472,46386,41.7,25212,Credit Card,11.48,60,Mortgage,7,1,46/51,3,2,84.01,27,Late
22,Male,Employed,High School,815,46221,27.01,29590,Credit Card,18.95,60,Mortgage,6,0,1/55,1,3,43.81,18,Current
34,Male,Unemployed,Bachelor's,839,25408,17.78,29807,Credit Card,23.33,36,Rent,2,1,38/58,0,3,43.11,7,Charged Off
38,Female,Employed,Bachelor's,783,42126,15.86,43353,Car,24.61,36,Rent,9,0,48/54,2,0,61.38,22,Current
72,Female,Employed,High School,736,40234,15.31,29739,Credit Card,16.26,36,Own,9,2,11/55,0,3,54.23,34,Current
70,Male,Unemployed,Master's,651,53369,35.56,35348,Credit Card,22.73,36,Rent,2,0,7/55,3,3,12.12,15,Fully Paid
56,Female,Unemployed,High School,797,114445,21.92,41703,Medical,8.14,36,Rent,2,1,31/54,3,2,93.74,39,Fully Paid
52,Female,Employed,Master's,602,45489,21.6,22781,Credit Card,9.13,60,Rent,4,2,7/55,2,4,32.74,31,Fully Paid
72,Male,Employed,High School,519,79341,38.81,41234,Credit Card,24.74,36,Own,2,1,6/58,1,4,10.17,34,Current
37,Female,Employed,Master's,490,100950,16.07,25359,Medical,24.75,36,Own,5,1,39/59,0,0,93.83,16,Fully Paid
48,Female,Employed,Master's,360,81836,19.13,21685,Car,8.16,36,Mortgage,11,1,28/52,2,3,91.74,16,Late
27,Male,Retired,Bachelor's,589,44788,49.86,20235,Car,17.6,36,Own,8,1,33/54,1,5,60.5,11,Current
36,Female,Unemployed,High School,308,80034,34.52,2763,Credit Card,22.64,60,Mortgage,7,2,46/54,0,4,15.01,0,Fully Paid
36,Male,Employed,Master's,414,126227,37.28,36397,Car,21.29,36,Own,11,0,49/54,2,5,46.3,20,Charged Off
44,Male,Employed,High School,384,106060,44.96,14010,Medical,6.25,36,Mortgage,5,1,16/56,0,3,28.95,3,Current
71,Female,Self-employed,Bachelor's,823,101476,34.69,4854,Credit Card,19.39,36,Rent,10,2,37/57,2,4,92.32,23,Charged Off
51,Male,Retired,Bachelor's,571,117766,15.24,3920,Car,19.16,60,Mortgage,8,0,1/53,2,0,87.93,17,Current
57,Female,Retired,High School,463,93741,23.67,9689,Home,12.71,36,Mortgage,5,1,2/54,2,1,81.88,7,Late
63,Female,Retired,Master's,510,79129,43.35,13381,Medical,22.46,60,Rent,7,1,44/57,2,0,51.46,5,Late
28,Female,Self-employed,Bachelor's,402,75326,17.25,13975,Car,14.02,36,Mortgage,3,1,19/54,2,1,68.55,10,Fully Paid
26,Male,Employed,Bachelor's,813,41249,42.56,49426,Home,11.86,60,Own,4,0,5/54,2,4,48.96,32,Late
27,Male,Retired,Bachelor's,810,46829,42.38,48296,Home,17.06,60,Rent,2,2,6/56,2,2,13.41,29,Late
24,Male,Retired,High School,743,147074,29.1,41762,Car,18.5,60,Own,2,2,44/52,1,2,82.28,17,Current
65,Male,Self-employed,Bachelor's,609,52382,30.58,21712,Car,22.82,60,Own,6,2,19/58,0,4,36.17,14,Fully Paid
36,Male,Self-employed,High School,655,127733,46.08,45003,Credit Card,18.88,36,Rent,11,0,7/52,0,5,86.78,4,Current
37,Female,Retired,Bachelor's,629,144968,21.99,17213,Medical,10.82,60,Rent,8,0,29/53,2,2,78.72,23,Late
68,Female,Self-employed,High School,518,39052,47.77,41831,Credit Card,13.77,60,Rent,8,2,42/57,3,0,44.85,30,Fully Paid
35,Female,Self-employed,Master's,546,58106,48.18,43039,Medical,9.18,36,Rent,6,0,25/52,3,4,87.67,7,Current
51,Male,Retired,Master's,490,111590,37.08,10656,Car,16.77,36,Own,8,2,42/59,3,3,12.31,18,Fully Paid
50,Female,Unemployed,Bachelor's,705,89293,30.36,48461,Medical,22.84,36,Mortgage,5,1,33/58,0,2,49.89,28,Current
36,Female,Unemployed,Master's,786,39610,26.91,43110,Home,5.07,60,Mortgage,8,1,49/55,3,4,90.4,27,Fully Paid
38,Male,Self-employed,High School,586,80632,46.54,39164,Medical,15.36,60,Own,2,2,7/54,3,1,98.64,26,Fully Paid
43,Male,Unemployed,Master's,412,103945,27.55,5430,Credit Card,16.22,60,Own,11,0,8/58,2,5,51.62,2,Late
49,Male,Employed,High School,746,30020,23.73,26066,Credit Card,6.9,36,Rent,10,1,28/59,2,0,77.61,19,Charged Off
47,Female,Employed,Bachelor's,330,109489,18.74,9525,Home,8.87,60,Own,2,0,15/57,0,0,42.11,14,Fully Paid
29,Female,Self-employed,High School,412,47223,22.49,26278,Home,10.31,60,Mortgage,11,2,29/58,0,0,30.7,33,Late
43,Male,Employed,Master's,731,44231,17.54,31770,Credit Card,17.45,36,Own,4,2,33/57,2,1,11.56,3,Fully Paid
38,Female,Unemployed,High School,499,108266,18.69,17242,Home,17.2,36,Own,2,1,12/56,1,0,50.1,37,Charged Off
51,Male,Unemployed,High School,656,91038,36.07,43308,Home,14.99,60,Own,7,2,24/55,0,1,24.18,5,Current
70,Female,Employed,High School,824,95803,39.04,4554,Medical,20.87,60,Mortgage,6,2,41/58,0,2,66.52,10,Charged Off
36,Male,Unemployed,High School,743,37522,21.21,3543,Car,7.28,60,Own,2,0,34/59,3,4,45.86,21,Charged Off
74,Female,Employed,High School,523,148418,21.3,23816,Medical,23.84,36,Mortgage,8,1,19/55,3,0,99.03,3,Fully Paid
34,Male,Unemployed,Bachelor's,564,93975,39.45,38326,Credit Card,13.94,60,Own,10,1,39/54,1,2,61.49,18,Charged Off
30,Female,Employed,Master's,383,58104,32.3,43938,Medical,7.62,36,Own,8,0,44/57,1,5,74.22,10,Late
45,Male,Self-employed,High School,715,85394,39.44,21089,Home,11.67,36,Own,5,0,47/55,2,0,39.46,30,Fully Paid
56,Female,Unemployed,Master's,408,107508,38.44,19470,Home,7.17,60,Rent,5,0,45/56,2,0,19.99,32,Current
68,Male,Self-employed,High School,323,77045,25.52,46857,Car,23.03,60,Own,11,1,21/52,1,5,46.27,32,Charged Off
40,Male,Unemployed,Master's,348,92132,43.46,2112,Home,19.82,36,Own,6,1,34/56,0,2,53.79,17,Fully Paid
69,Male,Retired,Master's,748,23614,33.93,15850,Home,18.33,36,Own,4,1,40/54,2,2,74.49,38,Late
42,Male,Self-employed,Bachelor's,507,20475,40.02,19109,Car,9.7,60,Own,4,2,46/54,1,0,91.38,29,Current
74,Male,Self-employed,Master's,798,47515,28.59,14675,Credit Card,7.73,60,Rent,10,1,38/51,3,1,52.77,13,Charged Off
18,Male,Employed,Master's,348,140319,44.5,42143,Car,23.28,60,Mortgage,2,2,42/51,0,4,41.41,0,Charged Off
73,Female,Unemployed,Master's,747,35630,41.4,20050,Medical,21.49,60,Rent,5,2,40/59,2,3,52.35,8,Current
55,Male,Unemployed,Bachelor's,572,101044,32.33,5008,Credit Card,21.39,60,Mortgage,6,2,32/57,2,5,60.0,32,Charged Off
70,Male,Self-employed,Bachelor's,509,104171,16.9,16302,Car,14.88,36,Rent,10,0,12/52,0,2,97.46,16,Late
21,Male,Self-employed,Master's,333,55897,28.29,13673,Car,6.59,36,Rent,11,2,48/56,3,3,22.65,13,Late
41,Male,Retired,Bachelor's,308,24743,31.33,4004,Home,20.65,36,Rent,9,0,3/51,2,0,10.88,5,Charged Off
45,Male,Retired,Master's,630,87329,18.58,28289,Medical,12.27,60,Rent,10,2,19/59,0,5,25.26,33,Fully Paid
74,Male,Unemployed,High School,567,87882,15.51,18245,Credit Card,6.85,36,Rent,4,1,15/52,2,2,12.78,6,Current
25,Female,Self-employed,High School,393,40384,33.55,40974,Credit Card,16.78,36,Mortgage,5,0,49/59,1,2,23.85,27,Late
74,Male,Retired,Bachelor's,364,110116,33.65,49134,Credit Card,18.85,60,Mortgage,5,0,1/57,1,2,15.55,29,Charged Off
38,Male,Retired,High School,761,69718,39.14,13695,Car,15.19,36,Rent,7,1,4/57,3,2,24.28,20,Charged Off
56,Female,Retired,Master's,600,143681,18.32,27938,Medical,12.45,60,Mortgage,11,0,9/57,0,5,73.83,33,Charged Off
35,Male,Employed,Bachelor's,750,96183,29.24,46499,Car,18.39,36,Mortgage,8,1,12/54,1,4,70.04,6,Fully Paid
29,Male,Unemployed,High School,751,67544,22.91,14945,Home,21.6,60,Rent,9,0,12/54,3,2,23.08,30,Late
68,Male,Unemployed,Master's,842,122894,40.01,12292,Home,6.24,60,Own,6,2,2/53,3,1,12.0,36,Late
65,Male,Unemployed,Bachelor's,542,21720,25.08,43210,Home,21.69,36,Own,10,0,34/58,0,3,35.03,39,Charged Off
51,Male,Unemployed,High School,835,65549,41.55,30865,Credit Card,19.02,36,Rent,5,0,33/56,1,0,52.78,18,Late
51,Female,Self-employed,Bachelor's,378,122796,34.86,38296,Home,21.79,60,Rent,3,1,37/53,1,4,65.8,8,Fully Paid
56,Female,Unemployed,Master's,621,133645,40.35,4920,Credit Card,13.23,60,Own,7,2,47/55,2,4,58.58,11,Late
74,Female,Unemployed,Bachelor's,682,123395,37.41,47728,Car,11.69,36,Own,10,1,21/56,2,0,72.55,17,Fully Paid
67,Female,Retired,Master's,672,104909,33.38,24572,Credit Card,23.87,36,Mortgage,6,0,44/59,3,3,31.56,14,Late
41,Male,Unemployed,Bachelor's,435,50970,31.42,31719,Medical,15.8,60,Own,5,0,29/59,0,3,78.52,2,Fully Paid
23,Male,Unemployed,High School,624,147209,40.0,21687,Medical,11.97,60,Own,10,1,47/52,2,0,43.94,5,Fully Paid
24,Female,Employed,Master's,406,90902,25.51,5250,Home,9.96,60,Mortgage,6,2,5/58,1,1,85.04,21,Current
50,Male,Retired,Bachelor's,484,103811,48.62,23901,Home,21.19,60,Rent,8,1,16/51,0,1,43.96,14,Charged Off
57,Female,Unemployed,Master's,740,122424,17.07,36954,Medical,8.42,36,Rent,5,2,3/51,2,3,51.66,35,Fully Paid
65,Male,Unemployed,Master's,429,44086,47.59,17695,Home,21.2,60,Own,8,2,30/51,1,0,12.39,29,Fully Paid
73,Male,Employed,Master's,646,21067,48.61,21771,Medical,13.66,36,Own,9,2,5/58,1,0,18.3,13,Fully Paid
27,Male,Unemployed,High School,485,148606,22.46,28523,Credit Card,17.08,36,Own,10,2,14/52,1,5,84.54,4,Fully Paid
62,Female,Employed,Bachelor's,752,45716,30.82,32005,Medical,17.11,36,Rent,11,2,33/51,0,2,54.15,38,Fully Paid
34,Male,Employed,High School,507,25331,32.32,26494,Credit Card,6.21,36,Rent,11,2,30/55,2,0,43.55,27,Late
24,Male,Employed,Master's,397,103189,27.54,22484,Credit Card,24.56,60,Mortgage,2,2,41/58,0,0,52.44,15,Late
42,Male,Retired,Bachelor's,461,27563,46.34,43941,Home,12.82,60,Rent,9,0,15/56,3,5,36.69,27,Current
65,Female,Employed,Master's,444,108308,39.19,10167,Home,22.15,36,Mortgage,8,1,10/55,2,0,17.66,8,Late
24,Female,Self-employed,Master's,722,60895,39.38,42767,Medical,6.29,36,Own,3,2,26/59,2,1,99.2,25,Charged Off
37,Female,Employed,Bachelor's,699,26189,20.83,25714,Medical,18.53,60,Rent,6,2,33/57,3,1,81.3,14,Late
58,Male,Retired,Master's,459,79566,41.92,49179,Medical,16.89,60,Rent,6,2,22/54,1,5,78.47,16,Fully Paid
19,Female,Self-employed,Master's,816,47670,36.69,20235,Medical,5.75,60,Rent,7,1,2/51,1,5,11.24,3,Current
31,Female,Self-employed,Master's,522,43019,35.75,7895,Car,13.27,60,Rent,5,0,25/52,2,2,42.92,13,Current
44,Female,Retired,High School,740,22835,17.62,34424,Medical,10.67,60,Own,9,2,20/54,2,3,46.29,7,Charged Off
67,Male,Unemployed,High School,310,122647,20.64,48709,Car,23.11,36,Mortgage,5,2,14/53,0,1,85.16,3,Current
31,Female,Unemployed,Bachelor's,734,60953,39.9,40781,Car,23.17,60,Mortgage,2,0,48/56,2,1,66.01,5,Charged Off
18,Male,Unemployed,Bachelor's,717,99221,33.14,35929,Car,8.22,36,Mortgage,11,2,14/59,3,0,40.65,17,Late
18,Female,Employed,Master's,637,131615,21.88,29600,Car,7.77,36,Own,8,2,30/57,2,5,69.39,13,Fully Paid
22,Male,Retired,Master's,371,40115,19.08,40094,Medical,19.15,36,Mortgage,8,1,33/57,1,5,24.17,17,Fully Paid
70,Male,Employed,High School,655,58703,19.71,9022,Credit Card,17.46,60,Rent,5,1,41/56,1,3,25.44,1,Late
26,Female,Self-employed,High School,764,79792,33.65,37141,Home,11.32,60,Rent,10,0,12/55,3,3,95.32,36,Current
20,Male,Retired,High School,433,137556,24.79,15772,Credit Card,23.41,60,Rent,10,0,13/58,0,5,95.33,38,Late
69,Male,Employed,Bachelor's,822,116412,30.84,43668,Home,22.63,36,Own,9,2,47/53,0,2,44.25,25,Current
67,Male,Unemployed,Master's,306,26088,40.86,6002,Credit Card,23.58,60,Own,9,0,43/58,1,0,79.65,23,Current
41,Female,Self-employed,Master's,598,38301,36.06,16231,Credit Card,8.45,60,Own,3,1,37/54,2,1,80.93,21,Current
69,Female,Self-employed,Master's,528,117056,28.71,42941,Credit Card,5.21,36,Mortgage,7,2,39/54,0,0,28.74,13,Charged Off
19,Female,Self-employed,High School,417,101986,42.21,23471,Medical,14.15,36,Own,8,1,39/51,3,0,44.47,37,Fully Paid
42,Male,Unemployed,High School,818,108446,32.97,23177,Home,7.46,60,Mortgage,4,2,29/58,1,0,70.56,7,Charged Off
26,Female,Self-employed,Bachelor's,548,109297,47.37,47779,Home,17.75,36,Own,7,1,4/59,1,4,81.44,19,Fully Paid
36,Male,Unemployed,High School,376,132276,41.97,29413,Credit Card,9.42,36,Rent,9,2,8/52,0,5,87.06,37,Charged Off
19,Female,Self-employed,Master's,344,35956,34.13,10761,Credit Card,8.57,36,Own,4,0,38/59,2,4,92.83,6,Late
38,Male,Employed,Master's,427,46013,48.37,25280,Home,19.85,36,Rent,2,2,15/57,3,5,65.92,15,Late
33,Female,Retired,High School,307,52824,48.65,32474,Medical,6.63,36,Mortgage,2,1,9/53,2,4,32.79,24,Charged Off
25,Male,Unemployed,Bachelor's,764,99838,40.95,16852,Medical,6.13,36,Mortgage,9,2,20/54,0,0,20.67,37,Current
28,Male,Employed,High School,408,89820,23.81,39560,Medical,13.37,60,Mortgage,2,1,20/54,1,1,18.11,12,Fully Paid
57,Female,Self-employed,Bachelor's,613,50024,31.77,15020,Medical,21.85,60,Rent,10,1,24/58,2,1,21.4,30,Fully Paid
64,Female,Retired,Master's,495,143316,39.35,23806,Car,23.96,60,Rent,2,0,25/58,2,1,13.56,1,Fully Paid
35,Male,Employed,High School,322,28643,24.29,47225,Medical,11.16,36,Rent,11,0,39/53,0,5,57.74,15,Current
27,Male,Self-employed,High School,569,34142,46.93,23972,Car,20.16,60,Own,10,1,33/53,1,0,39.37,18,Current
33,Female,Employed,Bachelor's,735,138478,47.07,43354,Car,7.42,36,Own,7,1,7/59,3,5,94.17,2,Fully Paid
73,Female,Unemployed,Master's,650,78901,47.69,42728,Credit Card,14.54,36,Mortgage,11,0,38/51,1,3,18.98,20,Late
52,Male,Retired,Master's,691,115802,44.39,39846,Home,16.47,36,Rent,10,0,3/56,3,4,86.23,29,Charged Off
42,Male,Employed,Bachelor's,409,81857,25.14,24166,Medical,7.23,60,Own,11,0,38/58,0,4,57.35,13,Charged Off
25,Male,Employed,Master's,417,70156,27.77,20083,Home,8.97,36,Rent,10,1,42/54,1,5,27.54,37,Current
41,Female,Self-employed,Bachelor's,739,74890,35.34,3686,Medical,21.4,36,Own,4,0,5/55,0,3,71.42,26,Late
32,Male,Employed,Master's,630,104765,19.81,31929,Medical,19.05,36,Rent,9,1,25/58,0,2,70.58,34,Late
54,Male,Unemployed,Master's,654,115560,17.46,23162,Car,8.65,36,Rent,8,0,42/58,2,1,38.66,18,Current
54,Male,Self-employed,High School,521,40854,26.97,24219,Credit Card,18.31,60,Mortgage,5,2,13/54,0,0,24.47,15,Late
65,Male,Employed,High School,552,144782,26.83,33563,Credit Card,18.78,60,Rent,10,1,7/52,2,5,87.54,15,Current
61,Male,Unemployed,Bachelor's,505,26282,16.95,45316,Car,22.99,60,Own,6,1,25/51,3,2,15.55,33,Current
47,Male,Unemployed,Bachelor's,828,124097,29.75,23806,Credit Card,17.79,36,Mortgage,2,0,22/54,2,2,21.82,37,Charged Off
68,Female,Retired,Master's,626,148133,18.01,34923,Credit Card,13.3,60,Own,3,1,30/52,0,3,55.43,2,Charged Off
33,Male,Employed,Bachelor's,490,147707,43.76,17999,Car,15.37,36,Mortgage,2,1,43/58,0,0,25.39,38,Current
60,Female,Unemployed,Bachelor's,787,91124,41.25,6606,Car,22.28,60,Mortgage,9,0,1/57,2,0,86.61,27,Fully Paid
72,Male,Employed,Master's,550,110371,16.57,19363,Car,14.46,36,Rent,10,1,27/53,0,2,29.27,13,Late
72,Female,Employed,Master's,753,67192,17.69,15888,Credit Card,7.55,60,Mortgage,5,1,7/54,2,1,22.4,26,Late
32,Male,Employed,High School,790,48566,29.11,37221,Credit Card,21.66,60,Rent,2,1,1/51,2,2,55.94,33,Fully Paid
44,Male,Retired,High School,543,112567,20.94,13895,Home,5.82,60,Own,4,1,20/58,3,3,99.97,14,Fully Paid
64,Female,Employed,Master's,634,25447,15.31,41722,Home,13.09,60,Mortgage,4,0,18/59,0,0,49.5,23,Charged Off
49,Female,Retired,High School,641,79738,28.14,28995,Car,24.87,36,Own,4,1,28/54,2,1,34.24,8,Fully Paid
31,Male,Unemployed,Bachelor's,642,137417,35.13,9438,Credit Card,23.78,60,Rent,7,0,35/55,3,5,52.11,23,Current
44,Female,Retired,Master's,835,26424,35.19,36909,Car,14.23,36,Own,9,0,8/52,0,1,12.84,22,Fully Paid
64,Male,Retired,Bachelor's,437,53164,35.87,13522,Credit Card,20.8,36,Rent,8,0,13/57,1,3,14.5,38,Current
34,Female,Self-employed,Master's,618,71386,48.26,43634,Medical,13.05,36,Own,4,0,49/57,2,4,28.28,0,Charged Off
42,Female,Self-employed,High School,647,84478,45.79,33898,Credit Card,9.83,36,Mortgage,8,1,22/59,0,0,80.71,28,Current
41,Male,Unemployed,Master's,435,104790,28.11,46902,Credit Card,18.21,36,Own,10,2,38/58,2,0,46.05,20,Late
32,Female,Retired,High School,631,50498,38.66,9808,Home,20.18,36,Mortgage,7,1,21/51,0,2,43.44,3,Late
28,Female,Employed,High School,702,133387,15.92,13132,Credit Card,19.47,36,Mortgage,10,0,7/51,2,4,71.24,26,Charged Off
27,Female,Retired,Bachelor's,502,49740,25.73,26543,Credit Card,8.28,60,Rent,4,2,25/54,3,5,51.2,13,Late
62,Male,Employed,High School,553,111927,41.05,29865,Home,14.22,36,Own,11,1,26/57,1,5,47.29,3,Charged Off
69,Female,Retired,Master's,729,33755,15.02,18686,Credit Card,10.42,36,Rent,4,0,22/59,2,2,42.62,21,Current
72,Male,Retired,Master's,399,60004,48.94,24933,Home,15.84,60,Own,11,1,36/57,2,2,66.61,26,Fully Paid
71,Female,Self-employed,Master's,553,36670,46.16,5859,Medical,21.41,60,Mortgage,2,2,44/53,3,5,63.85,9,Charged Off
69,Female,Unemployed,High School,472,94069,23.81,37188,Home,9.47,36,Rent,5,1,1/58,2,3,19.41,9,Fully Paid
20,Female,Employed,Master's,732,134899,48.43,11444,Car,10.04,60,Own,7,0,20/55,0,0,64.21,24,Charged Off
65,Female,Employed,High School,765,128637,38.07,30210,Medical,8.23,36,Own,10,0,5/52,2,1,33.06,1,Late
57,Female,Retired,Master's,492,50626,48.5,34772,Car,10.73,60,Own,9,0,6/53,2,3,23.4,8,Fully Paid
41,Female,Self-employed,Master's,338,130296,27.22,30575,Credit Card,11.59,36,Rent,2,1,17/59,3,4,22.24,23,Fully Paid
